time,voltage,current,ChargingVoltage,ChargingCurrent,OperationStatus,SafetyAlert,MaxError,BatteryStatus,CellVoltage1,CellVoltage2,CellVoltage3,CellVoltage4,UpdateStatus
,,,,,,,,,,,,,
4.575000048,6333,-9,8400,6000,32837,0,100,727,3173,3159,0,0,0x04
,,,,,,,,,,,,,
6.979000092,6134,-2413,8400,6000,32837,0,100,3031,3083,3051,0,0,0x04
,,,,,,,,,,,,,
9.430999994,6126,-2412,8400,6000,32837,0,100,3031,3079,3043,0,0,0x04
,,,,,,,,,,,,,
11.72799993,6115,-2412,8400,6000,32837,0,100,3031,3075,3040,0,0,0x04
,,,,,,,,,,,,,
14.102,6108,-2412,8400,6000,32837,0,100,3031,3072,3037,0,0,0x04
,,,,,,,,,,,,,
16.4920001,6103,-2412,8400,6000,32837,0,100,3031,3068,3033,0,0,0x04
,,,,,,,,,,,,,
18.80599999,6095,-2411,8400,6000,32837,0,100,3031,3065,3030,0,0,0x04
,,,,,,,,,,,,,
21.12199998,6089,-2412,8400,6000,32837,0,100,3031,3062,3027,0,0,0x04
,,,,,,,,,,,,,
23.50500011,6084,-2411,8400,6000,32837,0,100,3031,3058,3023,0,0,0x04
,,,,,,,,,,,,,
25.87899995,6077,-2412,8400,6000,32837,0,100,3031,3056,3021,0,0,0x04
,,,,,,,,,,,,,
28.29200006,6072,-2411,8400,6000,32837,0,100,3031,3053,3019,0,0,0x04
,,,,,,,,,,,,,
30.58500004,6065,-2412,8400,6000,32837,0,100,3031,3050,3015,0,0,0x04
,,,,,,,,,,,,,
32.94499993,6061,-2412,8400,6000,32837,0,100,3031,3047,3013,0,0,0x04
,,,,,,,,,,,,,
35.36199999,6056,-2412,8400,6000,32837,0,100,3031,3045,3011,0,0,0x04
,,,,,,,,,,,,,
37.69099998,6049,-2411,8400,6000,32837,0,100,3031,3042,3007,0,0,0x04
,,,,,,,,,,,,,
40.00300002,6045,-2411,8400,6000,32837,0,100,3031,3040,3006,0,0,0x04
