time,voltage,current,OperationStatus,SafetyAlert,BatteryStatus,CellVoltage1,CellVoltage2,CellVoltage3,CellVoltage4,UpdateStatus
1553157938.707,7558,-15,32835,0,192,3795,3763,0,0,0x04
1553157948.792,7413,-2412,32835,0,192,3743,3670,0,0,0x04
1553157958.879,7413,-2412,32835,0,192,3743,3670,0,0,0x04
1553157968.965,7414,-2412,32835,0,192,3744,3670,0,0,0x04
1553157979.058,7414,-2412,32835,0,192,3744,3670,0,0,0x04
1553157989.231,7413,-2412,32835,0,192,3744,3670,0,0,0x04
1553157999.392,7412,-2412,32835,0,192,3743,3669,0,0,0x04
1553158009.528,7412,-2412,32835,0,192,3743,3669,0,0,0x04
1553158019.701,7411,-2412,32835,0,192,3743,3669,0,0,0x04
1553158029.889,7410,-2412,32835,0,192,3742,3668,0,0,0x04
1553158040.062,7409,-2412,32835,0,192,3741,3667,0,0,0x04
1553158050.245,7408,-2412,32835,0,192,3741,3667,0,0,0x04
1553158060.387,7407,-2412,32835,0,192,3740,3666,0,0,0x04
1553158070.575,7405,-2412,32835,0,192,3740,3666,0,0,0x04
1553158080.758,7405,-2412,32835,0,192,3739,3665,0,0,0x04
1553158090.946,7403,-2412,32835,0,192,3739,3665,0,0,0x04
1553158101.135,7402,-2412,32835,0,192,3738,3664,0,0,0x04
1553158111.271,7401,-2412,32835,0,192,3737,3663,0,0,0x04
1553158121.451,7399,-2412,32835,0,192,3737,3663,0,0,0x04
1553158131.637,7399,-2412,32835,0,192,3736,3662,0,0,0x04
1553158141.821,7398,-2412,32835,0,192,3736,3662,0,0,0x04
1553158152.002,7396,-2412,32835,0,192,3735,3661,0,0,0x04
1553158162.163,7395,-2412,32835,0,192,3734,3660,0,0,0x04
1553158172.271,7394,-2412,32835,0,192,3734,3660,0,0,0x04
1553158182.435,7393,-2412,32835,0,192,3733,3659,0,0,0x04
1553158192.568,7391,-2413,32835,0,192,3733,3659,0,0,0x04
1553158202.757,7390,-2412,32835,0,192,3732,3658,0,0,0x04
